Group ID,Filename,Folder,Size (KB),Dimensions,Match %
48,v01_c0101e6083_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6083\texture,45,256 x 256,98

49,v01_c0101e6086_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6086\texture,28,256 x 256,98

49,v01_c0101e6086_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6086\texture,37,256 x 256,98

50,v01_c0101e6091_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6091\texture,47,256 x 512,98

50,v01_c0101e6091_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6091\texture,61,256 x 512,98

51,v01_c0101e6117_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6117\texture,27,256 x 256,98

51,v01_c0101e6117_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6117\texture,36,256 x 256,98

52,v01_c0101e8803_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e8803\texture,61,256 x 256,98

52,v01_c0101e8803_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e8803\texture,60,256 x 256,98

53,v01_c0101e9169_top_c_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\equipment\e9169\texture,73,256 x 512,98

53,v01_c0101e9169_top_c_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\equipment\e9169\texture,85,256 x 512,98

54,v01_c0101e9210_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e9210\texture,60,256 x 256,98

54,v01_c0101e9210_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e9210\texture,57,256 x 256,98

55,v01_c0104e9016_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_s\equipment\e9016\texture,2,256 x 256,98

55,v01_c0104e9016_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e9016\texture,2,256 x 256,98

56,v01_c0201e0400_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0400\texture,104,256 x 512,98

56,v01_c0101e0400_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0400\texture,106,256 x 512,98

56,v01_c0201e0400_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0400\texture,106,256 x 512,99

57,v01_c0201e0660_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0660\texture,36,256 x 256,98

57,v01_c0201e0660_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0660\texture,36,256 x 256,98

58,v01_c0201e0684_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0684\texture,114,256 x 512,98

58,v01_c0201e0684_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0684\texture,117,256 x 512,98

59,v01_c0201e0693_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0693\texture,134,256 x 512,98

59,v01_c0101e0693_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0693\texture,129,256 x 512,98

60,v01_c0201e6066_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6066\texture,31,256 x 256,98

60,v01_c0201e6066_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6066\texture,33,256 x 256,98

61,v01_c0201e6091_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6091\texture,180,512 x 1024,98

61,v01_c0201e6091_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6091\texture,182,512 x 1024,98

62,v01_c0201e6108_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6108\texture,233,512 x 1024,98

