filename,dimensions,format
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0013\texture\lmp_s0_m0013_0b_n.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0014\texture\lmp_s0_m0014_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0014\texture\lmp_s0_m0014_0a_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0015\texture\lmp_s0_m0015_0a_n.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0016\texture\lmp_s0_m0016_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0016\texture\lmp_s0_m0016_0a_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0017\texture\lmp_s0_m0017_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0017\texture\lmp_s0_m0017_0a_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0018\texture\lmp_s0_m0018_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0018\texture\lmp_s0_m0018_0a_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0019\texture\lmp_s0_m0019_0a_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0020\texture\lmp_s0_m0020_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0026\texture\lmp_s0_m0026_0a_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0028\texture\lmp_s0_m0028_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0028\texture\lmp_s0_m0028_0a_n.dds,512x512,BC1_UNORM
